web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560436587-569","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS304 - Advanced Quantum Mechanics and Quantum Optics","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS304","PHYS303"
"1560438040-2032","http://handbook.mq.edu.au/2019/Units/UGByCode","EDTE455 - Curriculum and Teaching in the Primary School 5","http://handbook.mq.edu.au/2019/Units/UGUnit/EDTE455","null"
"1560438325-2368","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP257 - Data Science","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP257","STAT171"
"1560438359-2399","http://handbook.mq.edu.au/2019/Units/UGByCode","COGS100 - Introduction to Cognitive and Brain Sciences","http://handbook.mq.edu.au/2019/Units/UGUnit/COGS100","COGS101"
"1560437845-1762","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGL233 - Creative Writing 2: Concept and Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGL233","MAS202"
"1560437028-989","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH201 - Engineering Dynamics","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH201","ENGG150"
"1560436418-341","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY354 - Clinical and Experimental Neuroscience","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY354","PSY236"
"1560437673-1576","http://handbook.mq.edu.au/2019/Units/UGByCode","GEOP330 - Asia-Pacific Development","http://handbook.mq.edu.au/2019/Units/UGUnit/GEOP330","null"
"1560436234-202","http://handbook.mq.edu.au/2019/Units/UGByCode","SSCI202 - Survey Research in the Social Sciences","http://handbook.mq.edu.au/2019/Units/UGUnit/SSCI202","SSCI100"
"1560436430-383","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY344 - Neuropsychology in Clinical Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY344","PSY247"
"1560436457-458","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY235 - Developmental Psychology","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY235","PSYC105"
"1560436781-762","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG208 - Marketing Management","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG208","MKTG101"
"1560438104-2111","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON356 - Evolution of Economic Ideas","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON356","null"
"1560437215-1162","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS584 - Media Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS584","null"
"1560438686-2794","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS370 - Archaeology of Early Egypt","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS370","AHIS280"
"1560438840-2917","http://handbook.mq.edu.au/2019/Units/UGByCode","AFIN253 - Financial Management","http://handbook.mq.edu.au/2019/Units/UGUnit/AFIN253","ACCG106"
"1560438254-2281","http://handbook.mq.edu.au/2019/Units/UGByCode","CRO465 - Advanced Croatian IV","http://handbook.mq.edu.au/2019/Units/UGUnit/CRO465","null"
"1560437012-948","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH304 - Applied Numerical Engineering","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH304","null"
"1560437887-1811","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGG255 - Data Analysis and Visualisation","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGG255","MATH135"
"1560437779-1659","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS362 - Environmental Management","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS362","ENV267"
"1560438946-3042","http://handbook.mq.edu.au/2019/Units/UGByCode","ABEP330 - Program Planning in ATSI Contexts","http://handbook.mq.edu.au/2019/Units/UGUnit/ABEP330","null"
"1560436457-449","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY235 - Developmental Psychology","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY235","STAT170"
"1560438523-2585","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL373 - Aquatic Ecosystems","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL373","ENVS339"
"1560437907-1834","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC494 - Electrical Energy Networks","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC494","ELEC324"
"1560437126-1089","http://handbook.mq.edu.au/2019/Units/UGByCode","MAS202 - Screenwriting: An Introduction","http://handbook.mq.edu.au/2019/Units/UGUnit/MAS202","null"
"1560438483-2535","http://handbook.mq.edu.au/2019/Units/UGByCode","BUSL320 - Taxation Law and Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/BUSL320","BUSL250"
"1560437968-1957","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC260 - Introduction to Mechatronics","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC260","null"
"1560438108-2121","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON336 - Economic Development","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON336","ECON215"
"1560436661-653","http://handbook.mq.edu.au/2019/Units/UGByCode","PHL238 - Existential Questions","http://handbook.mq.edu.au/2019/Units/UGUnit/PHL238","null"
"1560436565-555","http://handbook.mq.edu.au/2019/Units/UGByCode","PICT202 - Policing and Crime","http://handbook.mq.edu.au/2019/Units/UGUnit/PICT202","null"
"1560438074-2083","http://handbook.mq.edu.au/2019/Units/UGByCode","EDST301 - Practice of Teaching: Classroom Management and Assessment in the Secondary School","http://handbook.mq.edu.au/2019/Units/UGUnit/EDST301","null"
"1560436591-578","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS301 - Classical Electrodynamics","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS301","null"
"1560438449-2495","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS308 - Advanced Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS308","CBMS203"
"1560438136-2159","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON203 - Microeconomic Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON203","null"
"1560438830-2900","http://handbook.mq.edu.au/2019/Units/UGByCode","AFIN328 - Financial Risk Management","http://handbook.mq.edu.au/2019/Units/UGUnit/AFIN328","AFIN270"
"1560436555-542","http://handbook.mq.edu.au/2019/Units/UGByCode","PICT214 - History of War and Conflict in Asia","http://handbook.mq.edu.au/2019/Units/UGUnit/PICT214","PICT111"
"1560436455-435","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY236 - Biopsychology and Learning","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY236","PSYC104"
"1560438738-2829","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS310 - Early Rome","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS310","AHIS212"
"1560438415-2440","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN105 - Introductory Chinese II","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN105","CHN104"
