web-scraper-order,web-scraper-start-url,faculties,faculties-href,courses,courses-href,conditions
"1560501587-5587","https://www.handbook.unsw.edu.au/","Faculty of Art & Design","https://www.handbook.unsw.edu.au/FacultyOfArtDesign/browse?id=57a56ceb4f0093004aa6eb4f0310c7af","SART3403
      6 UOC
      Painting: Studio Practice","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/SART3403/?browseByFaculty=FacultyOfArtDesign&","L2 Painting Prerequisite"
"1560499886-4768","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BLDG3013
      6 UOC
      Digital Construction","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BLDG3013/?browseByFaculty=FacultyOfBuiltEnvironment&","Pre: BLDG2013 and BLDG2023"
"1560499339-4500","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","COMP3222
      6 UOC
      Digital Circuits and Systems","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3222/?browseByFaculty=FacultyOfEngineering&","Prerequisite: COMP2121 or COMP1521"
"1560500452-5032","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","EDST6730
      6 UOC
      Chinese Method 2","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/EDST6730/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: EDST6700. Corerequisite: EDST6760"
"1560497584-3683","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","FINS3635
      6 UOC
      Options, Futures and Risk Management","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/FINS3635/?browseByFaculty=UnswBusinessSchool&","Prerequisite: FINS2624"
"1560498607-4148","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3413
      6 UOC
      Housing Law","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3413/?browseByFaculty=FacultyOfLaw&","Prerequisite: Completion of 78 UOC in LAWS courses."
"1560501382-5489","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS1031
                      6 UOC
                    Reading Through Time: Literature from the Renaissance to Postmodernity","https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ARTS1031/?browseByFaculty=FacultyOfArtsAndSocialSciences&","null"
"1560499916-4783","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BLDG1012
      6 UOC
      Construction Materials","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BLDG1012/?browseByFaculty=FacultyOfBuiltEnvironment&","Program 3331 3332"
"1560497301-3550","https://www.handbook.unsw.edu.au/","UNSW Canberra at ADFA","https://www.handbook.unsw.edu.au/UnswCanberraAtAdfa/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ad","ZBUS1102
                      6 UOC
                    Business Economics","https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ZBUS1102/?browseByFaculty=UnswCanberraAtAdfa&","null"
"1560497942-3856","https://www.handbook.unsw.edu.au/","Faculty of Science","https://www.handbook.unsw.edu.au/FacultyOfScience/browse?id=57a56ceb4f0093004aa6eb4f0310c7ae","BIOS6723
      6 UOC
      River Basin Ecosystem Management","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BIOS6723/?browseByFaculty=FacultyOfScience&","null"
"1560497457-3621","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","MARK2052
      6 UOC
      Marketing Research","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MARK2052/?browseByFaculty=UnswBusinessSchool&","Prerequisite:MARK1012"
"1560499846-4748","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","CODE2120
      6 UOC
      Building Data","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2120/?browseByFaculty=FacultyOfBuiltEnvironment&","null"
"1560499975-4812","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BEIL6007
      6 UOC
      International Study Tour","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BEIL6007/?browseByFaculty=FacultyOfBuiltEnvironment&","Prerequisite: 96 unit of credits completed"
"1560499931-4790","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BENV6725
      6 UOC
      20th c. Architecture: Modernity to Deconstruction","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BENV6725/?browseByFaculty=FacultyOfBuiltEnvironment&","Prerequisite: 96 units of credit completed in Built Environment"
"1560500903-5255","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS3375
      6 UOC
      Modern German Philosophy","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS3375/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Philosophy"
